City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Jiuquan,CN,2022-01-29 06:37:03,39.7432,98.5174,31.03,24,4,6.4
95,Hami,CN,2022-01-29 06:37:04,42.8,93.45,28.36,38,0,3.29
96,San Andres,CO,2022-01-29 06:37:04,12.5847,-81.7006,78.82,73,40,8.05
97,Progreso,MX,2022-01-29 06:37:05,21.2833,-89.6667,71.71,64,100,20.45
98,Richards Bay,ZA,2022-01-29 06:37:05,-28.783,32.0377,78.28,70,80,14.36
99,Ambilobe,MG,2022-01-29 06:37:06,-13.2,49.05,84.29,69,38,2.24
100,Atambua,ID,2022-01-29 06:37:06,-9.1061,124.8925,78.98,79,100,7.38
101,Merrill,US,2022-01-29 06:37:06,45.1805,-89.6835,8.02,100,92,1.01
102,Matina,CR,2022-01-29 06:37:07,10.0761,-83.2895,71.53,91,38,4.14
103,Mataura,NZ,2022-01-29 06:37:07,-46.1927,168.8643,65.48,61,100,2.89
104,Agadez,NE,2022-01-29 06:37:07,19.75,10.25,50.22,27,0,8.61
105,Hithadhoo,MV,2022-01-29 06:37:08,-0.6,73.0833,81.09,65,100,4.74
106,Gizo,SB,2022-01-29 06:37:08,-8.103,156.8419,84.42,70,100,8.01
107,Lima,PE,2022-01-29 06:34:16,-12.0432,-77.0282,67.89,79,0,1.01
108,Duluth,US,2022-01-29 06:34:07,46.7833,-92.1066,8.01,78,75,1.01
109,Atuona,PF,2022-01-29 06:37:09,-9.8,-139.0333,77.47,80,12,11.36
110,Bereda,ES,2022-01-29 06:37:09,43.2686,-7.5406,35.42,94,8,1.7
111,Rincon,US,2022-01-29 06:37:09,32.296,-81.2354,41.18,45,0,16.11
112,Pevek,RU,2022-01-29 06:37:10,69.7008,170.3133,-13.9,100,50,0.4
113,Nanortalik,GL,2022-01-29 06:37:10,60.1432,-45.2371,27.19,77,100,18.05
114,College,US,2022-01-29 06:37:10,64.8569,-147.8028,1.35,60,75,8.05
115,Outlook,CA,2022-01-29 06:37:11,51.5001,-107.0513,28.09,80,100,10.58
116,Monrovia,LR,2022-01-29 06:37:11,6.3005,-10.7969,76.77,83,67,2.89
117,Rovnoye,RU,2022-01-29 06:37:11,50.7765,46.0509,17.64,95,100,10.58
118,Mouzouras,GR,2022-01-29 06:37:12,35.5333,24.15,51.44,81,75,4.61
119,Tual,ID,2022-01-29 06:37:12,-5.6667,132.75,82.67,78,92,16.8
120,Kaduy,RU,2022-01-29 06:37:12,59.2,37.15,15.84,96,99,2.86
121,Saint-Philippe,RE,2022-01-29 06:37:13,-21.3585,55.7679,85.55,76,3,9.08
122,Tuktoyaktuk,CA,2022-01-29 06:37:13,69.4541,-133.0374,-13.0,77,40,19.57
123,San Patricio,US,2022-01-29 06:37:13,28.017,-97.5169,48.92,51,10,4.38
124,Almaznyy,RU,2022-01-29 06:37:14,48.0448,40.045,32.14,94,100,14.27
125,Dawlatabad,AF,2022-01-29 06:37:14,36.4141,64.9053,47.32,63,44,11.39
126,Nanyuki,KE,2022-01-29 06:37:14,0.0167,37.0728,72.23,38,5,10.13
127,Sur,OM,2022-01-29 06:37:15,22.5667,59.5289,76.37,39,0,3.09
128,Tres Palos,MX,2022-01-29 06:37:15,18.1833,-101.6167,66.94,96,2,2.37
129,Okhotsk,RU,2022-01-29 06:37:15,59.3833,143.3,14.59,79,100,13.22
130,Petropavlovsk-Kamchatskiy,RU,2022-01-29 06:37:16,53.0452,158.6483,25.39,100,100,4.47
131,Schlitz,DE,2022-01-29 06:37:16,50.6742,9.561,40.28,97,100,13.27
132,Zeya,RU,2022-01-29 06:37:16,53.75,127.2667,8.33,65,75,6.35
133,Rawson,AR,2022-01-29 06:37:17,-43.3002,-65.1023,66.56,83,100,12.08
