City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
276,Rantauprapat,ID,85.66,broken clouds,2.1,99.8333,Permata Land Hotel & Resort
280,Dicabisagan,PH,80.29,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
287,Nanakuli,US,77.99,few clouds,21.3906,-158.1547,Camp Pālehua
290,Bandarbeyla,SO,75.25,overcast clouds,9.4942,50.8122,JABIR HOTEL
292,Makakilo City,US,76.57,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
295,Teshie,GH,78.89,scattered clouds,5.5836,-0.1072,Adinkra Lodge
304,Gizo,SB,83.37,light rain,-8.103,156.8419,Imagination Island
311,Daru,PG,83.26,overcast clouds,-9.0763,143.2092,Daru Lodge
314,Champerico,GT,76.77,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
326,Minuwangoda,LK,80.53,clear sky,7.1663,79.9533,Airport Reach Palace
327,Vao,NC,80.11,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
332,Pizarro,CO,75.13,light rain,4.9533,-77.366,Hotel Limonar
333,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
335,Soufriere,LC,75.07,clear sky,13.8562,-61.0566,Anse Chastanet Resort
341,Cockburn Town,TC,77.36,clear sky,21.4612,-71.1419,Osprey Beach Hotel
345,Kampot,KH,86.05,broken clouds,10.6167,104.1833,Two Moons Hotel
349,Soyo,AO,78.15,overcast clouds,-6.1349,12.3689,Hotel Mpampa
352,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
355,Aquiraz,BR,81.21,moderate rain,-3.9014,-38.3911,Pousada Rua Camurupim
358,Harper,LR,77.7,few clouds,4.375,-7.7169,Screensaver
360,Mayumba,GA,76.15,overcast clouds,-3.432,10.6554,LIKWALE LODGE
365,Eydhafushi,MV,82.36,broken clouds,5.1033,73.0708,Soneva Fushi
368,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
376,Bac Lieu,VN,84.04,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
378,Devonport,AU,75.09,clear sky,-41.1667,146.35,Gateway Hotel by Nightcap Plus
388,Ballina,AU,82.78,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
390,Pouebo,NC,86.49,overcast clouds,-20.4,164.5667,RIVÂT LODGE
396,Mananara,MG,76.55,broken clouds,-16.1667,49.7667,Chez Roger
400,Neiafu,TO,82.78,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
413,Hervey Bay,AU,87.04,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
416,Kiunga,PG,79.27,light rain,-6.1219,141.2906,Airport Lodge Kiunga
423,Dhidhdhoo,MV,82.63,broken clouds,6.8833,73.1,Dhidhoo beach
426,Souillac,MU,83.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
427,Biak,ID,83.39,overcast clouds,-0.9131,122.8766,Penginapan Kim
432,Salinopolis,BR,76.51,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
435,Christchurch,NZ,75.4,overcast clouds,-43.5333,172.6333,The George
437,Sri Aman,MY,86.68,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
438,Labuhan,ID,85.44,overcast clouds,-6.8844,112.2051,DoubleFAG
439,Kuala Terengganu,MY,82.67,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
443,Porto Velho,BR,75.25,moderate rain,-8.7619,-63.9039,Hotel Central
444,Buala,SB,85.3,light rain,-8.145,159.5921,Maringe Lagoon Lodge
